start-date,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
201607,--,--,--,--,--,--,--,--,--,--
201707,--,--,--,--,--,--,--,--,--,--
201807,--,--,--,--,--,--,--,--,--,--
201907,--,--,--,--,--,--,--,--,--,--
202007,--,--,--,--,--,--,--,--,--,--
202107,--,--,--,--,--,--,--,--,--,--
202207,--,--,--,--,--,--,--,--,--,--
199308,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199408,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199508,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199608,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199708,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199808,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199908,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200008,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200108,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200208,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200308,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200408,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200508,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200608,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200708,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200808,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200908,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201008,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201108,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201208,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201308,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201408,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201508,--,--,--,--,--,--,--,--,--,--
201608,--,--,--,--,--,--,--,--,--,--
201708,--,--,--,--,--,--,--,--,--,--
201808,--,--,--,--,--,--,--,--,--,--
201908,--,--,--,--,--,--,--,--,--,--
202008,--,--,--,--,--,--,--,--,--,--
202108,--,--,--,--,--,--,--,--,--,--
202208,--,--,--,--,--,--,--,--,--,--
199309,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199409,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199509,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199609,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199709,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199809,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199909,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200009,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200109,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200209,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200309,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200409,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200509,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200609,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200709,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200809,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200909,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201009,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201109,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201209,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201309,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201409,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201509,--,--,--,--,--,--,--,--,--,--
201609,--,--,--,--,--,--,--,--,--,--
201709,--,--,--,--,--,--,--,--,--,--
201809,--,--,--,--,--,--,--,--,--,--
201909,--,--,--,--,--,--,--,--,--,--
202009,--,--,--,--,--,--,--,--,--,--
202109,--,--,--,--,--,--,--,--,--,--
202209,--,--,--,--,--,--,--,--,--,--
199310,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199410,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199510,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199610,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199710,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199810,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199910,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200010,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200110,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200210,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200310,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200410,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200510,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200610,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200710,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200810,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200910,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201010,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201110,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201210,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201310,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201410,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201510,--,--,--,--,--,--,--,--,--,--
201610,--,--,--,--,--,--,--,--,--,--
201710,--,--,--,--,--,--,--,--,--,--
201810,--,--,--,--,--,--,--,--,--,--
201910,--,--,--,--,--,--,--,--,--,--
202010,--,--,--,--,--,--,--,--,--,--
202110,--,--,--,--,--,--,--,--,--,--
202210,--,--,--,--,--,--,--,--,--,--
199311,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199411,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199511,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199611,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199711,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199811,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199911,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200011,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200111,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200211,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200311,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200411,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200511,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200611,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200711,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200811,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200911,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201011,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201111,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201211,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201311,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201411,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201511,--,--,--,--,--,--,--,--,--,--
201611,--,--,--,--,--,--,--,--,--,--
201711,--,--,--,--,--,--,--,--,--,--
201811,--,--,--,--,--,--,--,--,--,--
201911,--,--,--,--,--,--,--,--,--,--
202011,--,--,--,--,--,--,--,--,--,--
202111,--,--,--,--,--,--,--,--,--,--
202211,--,--,--,--,--,--,--,--,--,--
199312,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199412,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199512,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199612,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199712,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199812,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
199912,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200012,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200112,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200212,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200312,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200412,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200512,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200612,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200712,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200812,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
200912,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201012,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201112,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201212,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201312,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201412,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201512,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201612,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201712,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201812,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
201912,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE,DONE
202012,--,--,--,--,--,--,--,--,--,--
202112,--,--,--,--,--,--,--,--,--,--
202212,--,--,--,--,--,--,--,--,--,--
